sex,fatal (y/n),activity,time of the day
F,N,Paddling,Evening
M,N,Surfing,Morning
M,N,Walking,Evening
M,N,Standing,Afternoon
M,N,Swimming,Afternoon
M,N,Fishing,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Scuba diving,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Fishing,Night
M,N,Paddle-skiing,Morning
M,N,Surfing,Morning
M,N,Swimming,Evening
M,N,Surfing,Afternoon
M,N,Stand-Up Paddleboarding,Morning
M,N,Wading,Evening
M,N,Swimming,Afternoon
M,N,Surfing,Morning
M,N,Walking,Afternoon
F,N,Swimming,Evening
M,N,Spearfishing,Afternoon
M,N,Diving,Afternoon
F,N,Surfing,Evening
F,N,Surfing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Surfing,Afternoon
M,Y,Night bathing,Night
M,N,Surfing,Morning
M,N,Stand-Up Paddleboarding,Afternoon
M,N,Surfing ,Evening
F,N,Swimming,Morning
M,N,Kayaking,Morning
M,N,Swimming,Afternoon
M,N,Surfing,Evening
F,N,Snorkeling,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Surfing,Morning
M,N,Surfing,Morning
M,N,Surfing,Morning
F,N,Wading,Afternoon
M,N,SUP,Morning
M,N,Spearfishing,Afternoon
M,N,Swimming,Afternoon
M,N,Fishing,Night
M,N,Kayaking / Fishing,Morning
M,N,Skimboarding,Evening
M,N,Surfing,Evening
M,N,Kayaking,Morning
M,N,SUP,Morning
M,N,Surfing,Morning
M,N,Kayaking,Morning
F,N,Surfing,Afternoon
M,N,Body boarding,Morning
M,N,Swimming,Afternoon
M,N,Body boarding,Morning
F,N,Surfing,Afternoon
M,Y,Snorkeling,Evening
F,N,Swimming,Evening
M,N,Surfing,Evening
F,N,Surfing,Morning
M,Y,Body boarding,Morning
F,N,Body boarding,Afternoon
F,N,Snorkeling,Afternoon
F,Y,Surfing,Afternoon
M,N,Surfing,Afternoon
F,N,Surfing,Afternoon
F,N,Surfing,Afternoon
F,N,Paddle boarding,Evening
F,N,Swimming,Evening
F,N,Swimming,Afternoon
F,N,Swimming,Afternoon
M,N,Body boarding,Evening
M,N,Kayaking,Afternoon
M,Y,Body boarding,Morning
M,N,Spearfishing,Morning
M,N,Swimming,Afternoon
M,N,Scuba Diving,Afternoon
M,N,Wading,Afternoon
M,N,Surf skiing ,Morning
M,N,Free diving,Morning
M,N,Surf fishing,Night
M,N,Fishing,Morning
F,N,Floating,Morning
F,N,Snorkeling,Morning
M,N,Surfing,Morning
M,N,Surfng,Evening
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Morning
M,N,Wading,Afternoon
F,N,Swimming,Afternoon
M,Y,Kite surfing,Afternoon
M,N,Wading,Afternoon
M,N,SUP Foil boarding,Afternoon
M,N,Swimming,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Evening
M,N,Kite surfing,Evening
M,N,Fishing,Morning
M,N,Fishing,Night
M,N,Surfing,Afternoon
M,N,Scuba Diving,Morning
M,N,Floating,Afternoon
M,N,Wading,Afternoon
F,N,Floating in tube,Evening
M,N,Standing,Afternoon
M,N,Swimming,Morning
F,Y,Diving,Morning
M,Y,Surfing,Afternoon
F,N,Swimming,Afternoon
M,N,Swimming,Afternoon
F,N,Swimming,Afternoon
F,N,Swimming,Evening
F,N,Teasing a shark,Afternoon
M,N,Floating,Afternoon
M,N,Surfing,Evening
M,N,Surf-skiing,Morning
F,Y,Walking,Morning
F,N,Snorkeling,Morning
M,N,Surfing,Evening
M,N,Body surfing,Afternoon
M,N,Kite surfing,Evening
M,N,Spearfishing,Afternoon
F,N,Wading,Afternoon
F,N,Walking,Afternoon
F,N,Surfing,Morning
M,N,Spearfishing,Morning
M,N,Snorkeling,Morning
F,N,Swimming,Morning
M,N,Surfing,Evening
M,N,Swimming,Morning
F,N,Wading,Afternoon
M,N,Fishing,Night
M,N,Body boarding,Afternoon
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Kayak Fishing,Morning
F,N,Boogie boarding,Afternoon
M,N,Surfing,Morning
M,N,Body boarding,Afternoon
M,N,Wading,Morning
M,N,Surfing,Morning
M,N,Surfing,Afternoon
M,N,Surfing,Afternoon
M,N,Spearfishing,Afternoon
M,N,Photographing fish,Morning
M,N,Swimming,Evening
M,N,Surfing,Morning
F,N,Stand-Up Paddleboarding,Evening
M,N,Kayak Fishing,Afternoon
M,N,Surf-skiing,Morning
F,N,Wading,Morning
F,N,Surfing,Morning
M,N,Surfing,Afternoon
F,N,Walking,Afternoon
M,N,Kayak Fishing,Morning
M,N,Spearfishing,Morning
M,Y,Scallop diving on hookah,Morning
M,N,Surfing,Morning
M,N,Body boarding ,Morning
M,N,Swimming,Afternoon
M,N,Playing in the water,Evening
M,N,Swimming,Afternoon
M,N,Body Boarding,Afternoon
M,N,Standing,Morning
M,N,Body surfing?,Morning
M,N,Swimming,Afternoon
F,N,Surfing,Morning
M,N,Swimming,Afternoon
M,N,Wading,Evening
F,N,Wading,Afternoon
F,N,Boogie boarding,Afternoon
M,N,Playing,Morning
F,N,Standing,Afternoon
F,N,Wading,Afternoon
M,N,Diving,Afternoon
F,Y,Snorkeling,Morning
M,N,Wading,Afternoon
M,N,Surfing,Morning
M,N,Surf skiing ,Morning
M,Y,Surfing,Morning
M,N,Paddle boarding,Morning
M,N,Standing / Snorkeling,Morning
M,N,Hand feeding sharks,Morning
M,N,Fishing,Morning
F,Y,Swimming,Evening
M,Y,Surfing,Morning
M,N,Surfing,Morning
M,N,Rowing,Morning
M,N,Shark fishing,Night
M,N,Fishing,Afternoon
M,Y,Spearfishing,Morning
